Sentence,Tagged_Sentence,BIO_tags,Animated_NP,Animated_Prob_NP,Animated_Token,Animated_Prob_Token
Ihre Eltern sind nach wie vor in Syrien .,[START] Ihre Eltern [END] sind nach wie vor in [START] Syrien [END] .,"['B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","[1, 0]",,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",
"Sie sind genau dort in Syrien , wo gerade die Türkei mit deutschen Panzern angreift .","[START] Sie [END] sind genau dort in [START] Syrien [END] , wo gerade [START] die Türkei [END] mit [START] deutschen Panzern [END] angreift .","['B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O']","[0, 0, 1, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",
"Ich habe diesen beiden Jungs versprochen , dass ich Ihnen hier sagen werde : Diese beiden Kinder warten seit zwei Jahren darauf , dass Mutter und Vater zu ihnen kommen .","[START] Ich [END] habe [START] diesen beiden Jungs [END] versprochen , dass [START] ich [END] [START] Ihnen [END] hier sagen werde : [START] Diese beiden Kinder [END] warten seit [START] zwei Jahren [END] darauf , dass [START] Mutter [END] und [START] Vater [END] zu [START] ihnen [END] kommen .","['B', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O']","[1, 1, 1, 0, 1, 0, 1, 1, 0]",,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",
"Es wäre doch unmenschlich , wenn man nicht sagen würde : Selbstverständlich müssen die Eltern dieser beiden Jungs , die hier draußen standen , die schon Deutsch gelernt haben , die alles daransetzen , hier anzukommen , die alles daransetzen , hier in Frieden zu leben , nachkommen .","[START] Es [END] wäre doch unmenschlich , wenn [START] man [END] nicht sagen würde : Selbstverständlich müssen [START] die Eltern [END] [START] dieser beiden Jungs [END] , [START] die [END] hier draußen standen , [START] die [END] schon [START] Deutsch [END] gelernt haben , [START] die [END] [START] alles [END] daransetzen , hier anzukommen , [START] die [END] [START] alles [END] daransetzen , hier in [START] Frieden [END] zu leben , nachkommen .","['B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O']","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Die Kinder brauchen doch Mutter und Vater .,[START] Die Kinder [END] brauchen doch [START] Mutter [END] und [START] Vater [END] .,"['B', 'I', 'O', 'O', 'B', 'O', 'B', 'O']","[1, 1, 1]",,"[1, 1, 0, 0, 1, 0, 1, 0]",
"– Es ist doch absurd , zu sagen : Vielleicht ist das ein Härtefall – oder eben auch nicht , meine Damen und Herren .","[START] – Es [END] ist doch absurd , zu sagen : Vielleicht ist [START] das [END] [START] ein Härtefall [END] – oder eben auch nicht , [START] meine Damen [END] und [START] Herren [END] .","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O']","[0, 0, 0, 1, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",
Sie schaden auch dem Ansehen unseres Landes .,[START] Sie [END] schaden auch [START] dem Ansehen [END] [START] unseres Landes [END] .,"['B', 'O', 'O', 'B', 'I', 'B', 'I', 'O']","[0, 0, 1]",,"[0, 0, 0, 0, 0, 1, 1, 0]",
Sie schaden aber auch dem Rechtsstaat .,[START] Sie [END] schaden aber auch [START] dem Rechtsstaat [END] .,"['B', 'O', 'O', 'O', 'B', 'I', 'O']","[0, 1]",,"[0, 0, 0, 0, 1, 1, 0]",
Die Leute da draußen haben nämlich vertrauensvoll gewartet .,[START] Die Leute [END] da draußen haben nämlich vertrauensvoll gewartet .,"['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[1],,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",
Sie waren die ganze Zeit ziemlich ruhig .,[START] Sie [END] waren [START] die ganze Zeit [END] ziemlich ruhig .,"['B', 'O', 'B', 'I', 'I', 'O', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0]",
Denen hatten Sie nämlich gesagt : In zwei Jahren geht es wieder .,[START] Denen [END] hatten [START] Sie [END] nämlich gesagt : In [START] zwei Jahren [END] geht es wieder .,"['B', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
– Jetzt haben Sie die aber betrogen .,– Jetzt haben [START] Sie [END] [START] die [END] aber betrogen .,"['O', 'O', 'O', 'B', 'B', 'O', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0]",
"Die fragen sich jetzt : Wieso ist das Land , in dem ich angekommen bin , ein Rechtsstaat , indem mir alle immer wieder sagen , ich müsse mich an Recht und Gesetz halten ?","[START] Die [END] fragen [START] sich [END] jetzt : Wieso ist [START] das Land [END] , in [START] dem [END] [START] ich [END] angekommen bin , [START] ein Rechtsstaat [END] , indem [START] mir [END] [START] alle [END] immer wieder sagen , [START] ich [END] müsse [START] mich [END] an [START] Recht [END] und [START] Gesetz [END] halten ?","['B', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O']","[0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
Selbstverständlich wollen die das .,Selbstverständlich wollen [START] die das [END] .,"['O', 'O', 'B', 'I', 'O']",[0],,"[0, 0, 0, 0, 0]",
"Jetzt aber werden sie betrogen , und es wird ihnen gesagt : „ April !","Jetzt aber werden [START] sie [END] betrogen , und [START] es [END] wird [START] ihnen [END] gesagt : „ April !","['O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
April !,April !,"['O', 'O']",[],,"[0, 0]",
"“ , und es ist doch nicht so .","“ , und [START] es [END] ist doch nicht so .","['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O']",[0],,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",
"– Wie können Sie eigentlich dem eigenen Rechtsstaat , auf den wir so stolz sind , auf diese Art und Weise schaden ?","– Wie können [START] Sie [END] eigentlich [START] dem eigenen Rechtsstaat [END] , auf [START] den [END] [START] wir [END] so stolz sind , auf [START] diese Art [END] und [START] Weise [END] schaden ?","['O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O']","[0, 1, 0, 1, 0, 0]",,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Liebe Union und liebe SPD , ich verstehe es einfach nicht .","[START] Liebe [END] Union und [START] liebe SPD [END] , [START] ich [END] verstehe [START] es [END] einfach nicht .","['B', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'O']","[0, 1, 1, 0]",,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]",
"Frau Kollegin Göring-Eckardt , ich habe es richtig verstanden , dass Sie Zwischenfragen der AfD-Fraktion nicht beantworten wollen ?","[START] Frau Kollegin Göring-Eckardt [END] , [START] ich [END] habe [START] es [END] richtig verstanden , dass [START] Sie [END] [START] Zwischenfragen [END] [START] der AfD-Fraktion [END] nicht beantworten wollen ?","['B', 'I', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'B', 'B', 'I', 'O', 'O', 'O', 'O']","[1, 1, 0, 0, 0, 1]",,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",
Das haben Sie richtig verstanden .,[START] Das [END] haben [START] Sie [END] richtig verstanden .,"['B', 'O', 'B', 'O', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0]",
Vielen Dank .,Vielen Dank .,"['O', 'O', 'O']",[],,"[0, 0, 0]",
Herr Dobrindt hat leider recht ; Herr Bartsch hat darauf hingewiesen .,[START] Herr Dobrindt [END] hat leider [START] recht [END] ; [START] Herr Bartsch [END] hat darauf hingewiesen .,"['B', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O']","[1, 0, 1]",,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",
Herr Dobrindt hat sehr klar gesagt : Die neue alte GroKo schafft das Recht auf Familiennachzug ab .,[START] Herr Dobrindt [END] hat sehr klar gesagt : [START] Die neue alte GroKo [END] schafft [START] das Recht [END] auf [START] Familiennachzug [END] ab .,"['B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'O', 'O']","[1, 1, 0, 0]",,"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
– Genauso ist es .,– Genauso ist [START] es [END] .,"['O', 'O', 'O', 'B', 'O']",[0],,"[0, 0, 0, 0, 0]",
"Es geht um das , was eigentlich Völkerrecht ist , um das , was eigentlich selbstverständlich mit unserem Grundgesetz vereinbar sein muss , nämlich den besonderen Schutz von Ehe und Familie .","Es geht um [START] das [END] , [START] was [END] eigentlich [START] Völkerrecht [END] ist , um [START] das [END] , [START] was [END] eigentlich selbstverständlich mit [START] unserem Grundgesetz [END] vereinbar sein muss , [START] nämlich den besonderen Schutz [END] von [START] Ehe [END] und [START] Familie [END] .","['O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'B', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
Das schaffen Sie ab .,[START] Das [END] schaffen [START] Sie [END] ab .,"['B', 'O', 'B', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0]",
"Sie machen daraus nicht mehr ein Völkerrecht , nicht mehr ein Grundrecht – Sie machen daraus jetzt ein Gnadenrecht .","[START] Sie [END] machen daraus nicht mehr [START] ein Völkerrecht [END] , nicht mehr [START] ein Grundrecht [END] – [START] Sie [END] machen daraus jetzt [START] ein Gnadenrecht [END] .","['B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Ich finde , bei Familie kann es kein Gnadenrecht geben .","[START] Ich [END] finde , bei [START] Familie [END] kann es [START] kein Gnadenrecht [END] geben .","['B', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O']","[1, 1, 0]",,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
"Lieber Herr de Maizière , Sie sagten hier am Anfang , wir sollten doch einmal darüber nachdenken , dass es ein bisschen Barmherzigkeit geben soll .","[START] Lieber Herr de Maizière [END] , [START] Sie [END] sagten hier am [START] Anfang [END] , [START] wir [END] sollten doch einmal darüber nachdenken , dass es [START] ein bisschen Barmherzigkeit [END] geben soll .","['B', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O']","[1, 0, 0, 1, 0]",,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Dann machen Sie lange Ausführungen darüber , was bei Wikipedia über „ Kompromiss “ steht .","Dann machen [START] Sie [END] [START] lange Ausführungen [END] darüber , [START] was [END] bei [START] Wikipedia [END] über [START] „ Kompromiss [END] “ steht .","['O', 'O', 'B', 'B', 'I', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Haben Sie vielleicht einmal nachgeguckt , was bei Wikipedia über „ Familie “ steht ?","Haben [START] Sie [END] vielleicht einmal nachgeguckt , [START] was [END] bei [START] Wikipedia [END] über [START] „ Familie [END] “ steht ?","['O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",
"Meine Damen und Herren , darum geht es doch ; es geht hier nicht um irgendeinen Kompromiss , es geht um Familie und Kinder .","[START] Meine Damen [END] und [START] Herren [END] , darum geht es doch ; es geht hier [START] nicht um irgendeinen Kompromiss [END] , es geht um [START] Familie [END] und [START] Kinder [END] .","['B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O']","[1, 1, 0, 1, 1]",,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",
"Nein , ein bisschen Barmherzigkeit gibt es nicht , und Härtefälle sind eben Härtefälle .","Nein , [START] ein bisschen Barmherzigkeit [END] gibt es nicht , und [START] Härtefälle [END] sind eben [START] Härtefälle [END] .","['O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Es ist sehr nett , Herr Gabriel , dass Sie auf die Anmerkung von Frau Amtsberg hier durch den Saal gegangen sind – ich nehme an , es gibt Fotos davon – und sich diesen einen Härtefall noch einmal genau anschauen wollten , um zu sehen , ob Sie nicht doch etwas tun können .","[START] Es [END] ist sehr nett , [START] Herr Gabriel [END] , dass [START] Sie [END] auf [START] die Anmerkung [END] von [START] Frau Amtsberg [END] hier durch [START] den Saal [END] gegangen sind – [START] ich [END] nehme an , es gibt [START] Fotos [END] davon – und [START] sich [END] [START] diesen [END] [START] einen Härtefall [END] noch einmal genau anschauen wollten , um zu sehen , ob [START] Sie [END] nicht doch [START] etwas [END] tun können .","['B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O']","[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Aber genau das ist der falsche Ansatz .,Aber [START] genau das [END] ist [START] der falsche Ansatz [END] .,"['O', 'B', 'I', 'O', 'B', 'I', 'I', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0]",
Was ist denn ein Härtefall ?,[START] Was [END] ist denn [START] ein Härtefall [END] ?,"['B', 'O', 'O', 'B', 'I', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0]",
Sind diese beiden Jungs da draußen ein Härtefall ?,Sind [START] diese beiden Jungs [END] da draußen [START] ein Härtefall [END] ?,"['O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'O']","[1, 0]",,"[0, 1, 1, 1, 0, 0, 0, 0, 0]",
Muss man schwerstbehindert sein oder was auch immer ?,Muss [START] man [END] schwerstbehindert sein oder [START] was [END] auch immer ?,"['O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O']","[1, 0]",,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",
Nein .,Nein .,"['O', 'O']",[],,"[0, 0]",
"Jeder einzelne Fall – wenn Familien getrennt sind , wenn Kinder von ihren Eltern getrennt sind , wenn Geschwister getrennt sind – ist doch ein Härtefall .","[START] Jeder einzelne Fall [END] – wenn [START] Familien [END] getrennt sind , wenn [START] Kinder [END] von [START] ihren Eltern [END] getrennt sind , wenn [START] Geschwister [END] getrennt sind – ist doch [START] ein Härtefall [END] .","['B', 'I', 'I', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","[0, 1, 1, 1, 1, 0]",,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
"Das ist die Wirklichkeit , wenn es um Familien geht , meine Damen und Herren .","[START] Das [END] ist [START] die Wirklichkeit [END] , wenn es um [START] Familien [END] geht , [START] meine Damen [END] und [START] Herren [END] .","['B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'B', 'O']","[0, 0, 1, 1, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]",
"Frau Högl , Sie haben darauf hingewiesen , dass Sie das alles unter der Berücksichtigung der Kinderrechtskonvention machen wollen .","[START] Frau Högl [END] , [START] Sie [END] haben darauf hingewiesen , dass [START] Sie [END] [START] das alles [END] unter [START] der Berücksichtigung [END] [START] der Kinderrechtskonvention [END] machen wollen .","['B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O']","[1, 0, 0, 0, 0, 0]",,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Das kann man nicht ; man kann nicht nur ein bisschen die Kinderrechtskonvention berücksichtigen .,[START] Das [END] kann [START] man [END] nicht ; [START] man [END] kann nicht nur ein bisschen [START] die Kinderrechtskonvention [END] berücksichtigen .,"['B', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 1, 1, 0]",,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Die Kinderrechtskonvention gilt !,[START] Die Kinderrechtskonvention [END] gilt !,"['B', 'I', 'O', 'O']",[0],,"[0, 0, 0, 0]",
Das ist der Unterschied : Sie gilt für jedes Kind und nicht nur für 1 0 oder für 1 0 plus 97 Für jedes einzelne Kind gilt die Kinderrechtskonvention .,[START] Das [END] ist [START] der Unterschied [END] : [START] Sie [END] gilt für [START] jedes Kind [END] und nicht nur für 1 0 oder für 1 0 plus 97 Für [START] jedes einzelne Kind [END] gilt [START] die Kinderrechtskonvention [END] .,"['B', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O']","[0, 0, 0, 1, 1, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",
"Das ist das Problem , das Sie mit Ihrem sogenannten Kompromiss geschaffen haben , meine Damen und Herren .","[START] Das [END] ist [START] das Problem [END] , [START] das [END] [START] Sie [END] mit [START] Ihrem sogenannten Kompromiss [END] geschaffen haben , [START] meine Damen [END] und [START] Herren [END] .","['B', 'O', 'B', 'I', 'O', 'B', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O']","[0, 0, 0, 0, 0, 1, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",
"Liebe Kolleginnen und Kollegen von der SPD , man kann ja viel darüber reden , auf welche Art und Weise Sie verhandeln und was uns wahrscheinlich mit dieser Art von Großen Koalition – „ kleine Koalition “ kann man ja eigentlich nur sagen – bevorstehen wird .","[START] Liebe [END] [START] Kolleginnen [END] und [START] Kollegen [END] von [START] der SPD [END] , [START] man [END] kann ja [START] viel [END] darüber reden , auf [START] welche Art [END] und [START] Weise [END] [START] Sie [END] verhandeln und [START] was [END] [START] uns [END] wahrscheinlich mit [START] dieser Art [END] von [START] Großen Koalition [END] – „ kleine Koalition “ kann [START] man [END] ja eigentlich nur sagen – bevorstehen wird .","['B', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'O', 'O', 'B', 'B', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
Sie knicken in der Familienfrage ein .,[START] Sie [END] knicken in [START] der Familienfrage [END] ein .,"['B', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0]",
Du liebe Güte !,[START] Du [END] liebe [START] Güte [END] !,"['B', 'O', 'B', 'O']","[0, 0]",,"[0, 0, 0, 0]",
Sie stellen sogar immer noch die Familienministerin .,[START] Sie [END] stellen sogar immer noch [START] die Familienministerin [END] .,"['B', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","[0, 1]",,"[0, 0, 0, 0, 0, 1, 1, 0]",
Ich frage : Wie klein will sich die SPD noch machen ?,[START] Ich [END] frage : Wie klein will [START] sich [END] [START] die SPD [END] noch machen ?,"['B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O']","[1, 0, 1]",,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",
Sie sind noch in keiner Koalition .,[START] Sie [END] sind noch in [START] keiner Koalition [END] .,"['B', 'O', 'O', 'O', 'B', 'I', 'O']","[0, 1]",,"[0, 0, 0, 0, 1, 1, 0]",
"Sie können heute hier zeigen , dass es Ihnen wirklich um die Familien geht .","[START] Sie [END] können heute hier zeigen , dass es [START] Ihnen [END] wirklich um [START] die Familien [END] geht .","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",
"Sie können es heute hier zeigen , indem Sie diesem unsäglichen Kompromiss , den Ihre Führung gemacht hat , nicht zustimmen .","[START] Sie [END] können [START] es [END] heute hier zeigen , indem [START] Sie [END] [START] diesem unsäglichen Kompromiss [END] , [START] den [END] [START] Ihre Führung [END] gemacht hat , nicht zustimmen .","['B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Jeder Einzelne von Ihnen kann heute entscheiden : Ich setze mich ein für die syrischen Familien .,[START] Jeder Einzelne [END] von [START] Ihnen [END] kann heute entscheiden : [START] Ich [END] setze [START] mich [END] ein für [START] die syrischen Familien [END] .,"['B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O']","[1, 0, 1, 0, 1]",,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",
"Ich setze mich ein dafür , dass jedes Kind das Recht hat , mit seinen Eltern zusammenzuleben .","[START] Ich [END] setze [START] mich [END] ein dafür , dass [START] jedes Kind [END] [START] das Recht [END] hat , mit [START] seinen Eltern [END] zusammenzuleben .","['B', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O']","[1, 0, 1, 0, 1]",,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",
"Ich setze mich dafür ein , dass die Frage : „ Was wäre , wenn es mein Kind wäre ?","[START] Ich [END] setze [START] mich [END] dafür ein , dass die Frage : „ [START] Was [END] wäre , wenn [START] es [END] [START] mein Kind [END] wäre ?","['B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O']","[1, 0, 0, 0, 1]",,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",
